season,n_games,train_seasons,model,log_loss,brier,accuracy
2018-19,164,2017-18,model,0.844615304087815,0.2908427579916178,0.5609756097560976
2018-19,164,2017-18,baseline_p50,0.6931471805599454,0.25,0.5
2018-19,164,2017-18,baseline_higher_nr,0.6511687098971762,0.22927804878048783,0.6463414634146342
2020-21,170,2017-18+2018-19,model,0.6516225747179989,0.2294159769914877,0.6352941176470588
2020-21,170,2017-18+2018-19,baseline_p50,0.6931471805599453,0.25,0.5
2020-21,170,2017-18+2018-19,baseline_higher_nr,0.6796144819565845,0.2432235294117647,0.5882352941176471
2021-22,174,2017-18+2018-19+2020-21,model,0.6888624618982043,0.24492961293209164,0.5632183908045977
2021-22,174,2017-18+2018-19+2020-21,baseline_p50,0.6931471805599454,0.25,0.5
2021-22,174,2017-18+2018-19+2020-21,baseline_higher_nr,0.6580995160027536,0.23267586206896554,0.632183908045977
2022-23,168,2017-18+2018-19+2020-21+2021-22,model,0.7441372939326535,0.26720295027848534,0.5119047619047619
2022-23,168,2017-18+2018-19+2020-21+2021-22,baseline_p50,0.6931471805599453,0.25,0.5
2022-23,168,2017-18+2018-19+2020-21+2021-22,baseline_higher_nr,0.699498093349081,0.25297142857142857,0.5476190476190477
2023-24,164,2017-18+2018-19+2020-21+2021-22+2022-23,model,0.6537991462178709,0.22901228841055368,0.6463414634146342
2023-24,164,2017-18+2018-19+2020-21+2021-22+2022-23,baseline_p50,0.6931471805599454,0.25,0.5
2023-24,164,2017-18+2018-19+2020-21+2021-22+2022-23,baseline_higher_nr,0.6571388102059409,0.23220487804878054,0.6341463414634146
2024-25,168,2017-18+2018-19+2020-21+2021-22+2022-23+2023-24,model,0.6876079092531552,0.24306751410239733,0.5952380952380952
2024-25,168,2017-18+2018-19+2020-21+2021-22+2022-23+2023-24,baseline_p50,0.6931471805599453,0.25,0.5
2024-25,168,2017-18+2018-19+2020-21+2021-22+2022-23+2023-24,baseline_higher_nr,0.6878421832224452,0.2472571428571429,0.5714285714285714
