season,game_id,game_date,team_id,opp_team_id,is_home,won,pts_team,pts_opp,series_wins_team,series_wins_opp,series_score_diff,series_game_number,is_elimination_for_team,is_elimination_for_opp,days_rest_team,days_rest_opp,rest_diff,roll_pts_team,roll_pts_allowed_team,roll_margin_team,roll_win_pct_team,roll_games_team,roll_pts_opp,roll_pts_allowed_opp,roll_margin_opp,roll_win_pct_opp,roll_games_opp,stars_active_team,stars_active_opp,team_off_rating,opp_off_rating,diff_off_rating,team_def_rating,opp_def_rating,diff_def_rating,team_net_rating,opp_net_rating,diff_net_rating,team_pace,opp_pace,diff_pace,team_ts_pct,opp_ts_pct,diff_ts_pct,team_ast_pct,opp_ast_pct,diff_ast_pct,team_oreb_pct,opp_oreb_pct,diff_oreb_pct,team_dreb_pct,opp_dreb_pct,diff_dreb_pct,team_tm_tov_pct,opp_tm_tov_pct,diff_tm_tov_pct
2017-18,0041700101,2018-04-14,1610612761,1610612764,1,1,114,106,0,0,0,1,0,0,,,,,,,,0,,,,,0,3,3,113.0,108.1,4.900000000000006,105.3,107.7,-2.4000000000000057,7.7,0.4,7.3,98.02,97.67,0.3499999999999943,0.575,0.56,0.014999999999999902,0.59,0.631,-0.041000000000000036,0.274,0.274,0.0,0.725,0.732,-0.007000000000000006,0.135,0.148,-0.012999999999999984
2017-18,0041700101,2018-04-14,1610612764,1610612761,0,0,106,114,0,0,0,1,0,0,,,,,,,,0,,,,,0,3,3,108.1,113.0,-4.900000000000006,107.7,105.3,2.4000000000000057,0.4,7.7,-7.3,97.67,98.02,-0.3499999999999943,0.56,0.575,-0.014999999999999902,0.631,0.59,0.041000000000000036,0.274,0.274,0.0,0.732,0.725,0.007000000000000006,0.148,0.135,0.012999999999999984
2017-18,0041700121,2018-04-14,1610612755,1610612748,1,1,130,103,0,0,0,1,0,0,,,,,,,,0,,,,,0,2,2,108.5,106.2,2.299999999999997,103.9,105.8,-1.8999999999999915,4.6,0.4,4.199999999999999,100.75,96.1,4.650000000000006,0.568,0.551,0.016999999999999904,0.663,0.585,0.07800000000000007,0.286,0.261,0.024999999999999967,0.736,0.741,-0.0050000000000000044,0.163,0.148,0.015000000000000013
2017-18,0041700121,2018-04-14,1610612748,1610612755,0,0,103,130,0,0,0,1,0,0,,,,,,,,0,,,,,0,2,2,106.2,108.5,-2.299999999999997,105.8,103.9,1.8999999999999915,0.4,4.6,-4.199999999999999,96.1,100.75,-4.650000000000006,0.551,0.568,-0.016999999999999904,0.585,0.663,-0.07800000000000007,0.261,0.286,-0.024999999999999967,0.741,0.736,0.0050000000000000044,0.148,0.163,-0.015000000000000013
2017-18,0041700151,2018-04-14,1610612744,1610612759,1,1,113,92,0,0,0,1,0,0,,,,,,,,0,,,,,0,2,2,112.8,107.1,5.700000000000003,106.8,104.1,2.700000000000003,5.9,3.0,2.9000000000000004,100.35,95.7,4.6499999999999915,0.603,0.543,0.05999999999999994,0.685,0.583,0.10200000000000009,0.243,0.277,-0.03400000000000003,0.712,0.741,-0.029000000000000026,0.153,0.137,0.015999999999999986
2017-18,0041700151,2018-04-14,1610612759,1610612744,0,0,92,113,0,0,0,1,0,0,,,,,,,,0,,,,,0,2,2,107.1,112.8,-5.700000000000003,104.1,106.8,-2.700000000000003,3.0,5.9,-2.9000000000000004,95.7,100.35,-4.6499999999999915,0.543,0.603,-0.05999999999999994,0.583,0.685,-0.10200000000000009,0.277,0.243,0.03400000000000003,0.741,0.712,0.029000000000000026,0.137,0.153,-0.015999999999999986
2017-18,0041700161,2018-04-14,1610612757,1610612740,1,0,95,97,0,0,0,1,0,0,,,,,,,,0,,,,,0,3,2,108.4,108.5,-0.09999999999999432,105.7,107.4,-1.7000000000000028,2.7,1.1,1.6,97.11,101.48,-4.3700000000000045,0.549,0.573,-0.02399999999999991,0.496,0.627,-0.131,0.279,0.24,0.039000000000000035,0.746,0.726,0.020000000000000018,0.139,0.145,-0.005999999999999978
2017-18,0041700161,2018-04-14,1610612740,1610612757,0,1,97,95,0,0,0,1,0,0,,,,,,,,0,,,,,0,2,3,108.5,108.4,0.09999999999999432,107.4,105.7,1.7000000000000028,1.1,2.7,-1.6,101.48,97.11,4.3700000000000045,0.573,0.549,0.02399999999999991,0.627,0.496,0.131,0.24,0.279,-0.039000000000000035,0.726,0.746,-0.020000000000000018,0.145,0.139,0.005999999999999978
2017-18,0041700111,2018-04-15,1610612738,1610612749,1,1,113,107,0,0,0,1,0,0,,,,,,,,0,,,,,0,2,3,106.8,109.0,-2.200000000000003,103.2,109.1,-5.8999999999999915,3.6,-0.2,3.8000000000000003,96.75,97.03,-0.28000000000000114,0.552,0.571,-0.018999999999999906,0.586,0.585,0.0010000000000000009,0.263,0.244,0.019000000000000017,0.739,0.709,0.030000000000000027,0.144,0.142,0.0020000000000000018
2017-18,0041700111,2018-04-15,1610612749,1610612738,0,0,107,113,0,0,0,1,0,0,,,,,,,,0,,,,,0,3,2,109.0,106.8,2.200000000000003,109.1,103.2,5.8999999999999915,-0.2,3.6,-3.8000000000000003,97.03,96.75,0.28000000000000114,0.571,0.552,0.018999999999999906,0.585,0.586,-0.0010000000000000009,0.244,0.263,-0.019000000000000017,0.709,0.739,-0.030000000000000027,0.142,0.144,-0.0020000000000000018
2017-18,0041700131,2018-04-15,1610612739,1610612754,1,0,80,98,0,0,0,1,0,0,,,,,,,,0,,,,,0,3,3,112.0,108.5,3.5,111.1,107.3,3.799999999999997,1.0,1.3,-0.30000000000000004,98.72,96.84,1.8799999999999955,0.584,0.557,0.026999999999999913,0.579,0.544,0.03499999999999992,0.243,0.271,-0.028000000000000025,0.73,0.721,0.009000000000000008,0.139,0.136,0.0030000000000000027
2017-18,0041700131,2018-04-15,1610612754,1610612739,0,1,98,80,0,0,0,1,0,0,,,,,,,,0,,,,,0,3,3,108.5,112.0,-3.5,107.3,111.1,-3.799999999999997,1.3,1.0,0.30000000000000004,96.84,98.72,-1.8799999999999955,0.557,0.584,-0.026999999999999913,0.544,0.579,-0.03499999999999992,0.271,0.243,0.028000000000000025,0.721,0.73,-0.009000000000000008,0.136,0.139,-0.0030000000000000027
2017-18,0041700141,2018-04-15,1610612745,1610612750,1,1,104,101,0,0,0,1,0,0,,,,,,,,0,,,,,0,3,3,114.1,112.5,1.5999999999999943,105.7,110.2,-4.5,8.4,2.3,6.1000000000000005,98.02,96.75,1.269999999999996,0.59,0.566,0.02400000000000002,0.557,0.553,0.0040000000000000036,0.254,0.289,-0.034999999999999976,0.75,0.72,0.030000000000000027,0.141,0.128,0.012999999999999984
2017-18,0041700141,2018-04-15,1610612750,1610612745,0,0,101,104,0,0,0,1,0,0,,,,,,,,0,,,,,0,3,3,112.5,114.1,-1.5999999999999943,110.2,105.7,4.5,2.3,8.4,-6.1000000000000005,96.75,98.02,-1.269999999999996,0.566,0.59,-0.02400000000000002,0.553,0.557,-0.0040000000000000036,0.289,0.254,0.034999999999999976,0.72,0.75,-0.030000000000000027,0.128,0.141,-0.012999999999999984
2017-18,0041700171,2018-04-15,1610612760,1610612762,1,1,116,108,0,0,0,1,0,0,,,,,,,,0,,,,,0,3,3,110.1,107.4,2.6999999999999886,106.4,103.0,3.4000000000000057,3.7,4.4,-0.7000000000000002,97.34,96.58,0.7600000000000051,0.546,0.564,-0.017999999999999905,0.535,0.586,-0.050999999999999934,0.32,0.256,0.064,0.725,0.756,-0.031000000000000028,0.143,0.152,-0.009000000000000008
2017-18,0041700171,2018-04-15,1610612762,1610612760,0,0,108,116,0,0,0,1,0,0,,,,,,,,0,,,,,0,3,3,107.4,110.1,-2.6999999999999886,103.0,106.4,-3.4000000000000057,4.4,3.7,0.7000000000000002,96.58,97.34,-0.7600000000000051,0.564,0.546,0.017999999999999905,0.586,0.535,0.050999999999999934,0.256,0.32,-0.064,0.756,0.725,0.031000000000000028,0.152,0.143,0.009000000000000008
2017-18,0041700122,2018-04-16,1610612755,1610612748,1,0,103,113,1,0,1,2,0,0,2,2,0,130.0,103.0,27.0,1.0,1,103.0,130.0,-27.0,0.0,1,2,2,108.5,106.2,2.299999999999997,103.9,105.8,-1.8999999999999915,4.6,0.4,4.199999999999999,100.75,96.1,4.650000000000006,0.568,0.551,0.016999999999999904,0.663,0.585,0.07800000000000007,0.286,0.261,0.024999999999999967,0.736,0.741,-0.0050000000000000044,0.163,0.148,0.015000000000000013
2017-18,0041700122,2018-04-16,1610612748,1610612755,0,1,113,103,0,1,-1,2,0,0,2,2,0,103.0,130.0,-27.0,0.0,1,130.0,103.0,27.0,1.0,1,2,2,106.2,108.5,-2.299999999999997,105.8,103.9,1.8999999999999915,0.4,4.6,-4.199999999999999,96.1,100.75,-4.650000000000006,0.551,0.568,-0.016999999999999904,0.585,0.663,-0.07800000000000007,0.261,0.286,-0.024999999999999967,0.741,0.736,0.0050000000000000044,0.148,0.163,-0.015000000000000013
2017-18,0041700152,2018-04-16,1610612744,1610612759,1,1,116,101,1,0,1,2,0,0,2,2,0,113.0,92.0,21.0,1.0,1,92.0,113.0,-21.0,0.0,1,2,2,112.8,107.1,5.700000000000003,106.8,104.1,2.700000000000003,5.9,3.0,2.9000000000000004,100.35,95.7,4.6499999999999915,0.603,0.543,0.05999999999999994,0.685,0.583,0.10200000000000009,0.243,0.277,-0.03400000000000003,0.712,0.741,-0.029000000000000026,0.153,0.137,0.015999999999999986
