game_id,game_date_et,status,tipoff_et,series,game_label,home_team,away_team,home_score,away_score,home_reg_season_leader,home_reg_season_ppg,away_reg_season_leader,away_reg_season_ppg
0042500121,2026-04-18,Final,,,,NYK,ATL,113,102,Jalen Brunson,26.0,Jalen Johnson,22.5
0042500131,2026-04-18,Final,,,,CLE,TOR,126,113,Donovan Mitchell,27.9,Brandon Ingram,21.5
0042500161,2026-04-18,Final,,,,DEN,MIN,116,105,Nikola Jokić,27.7,Anthony Edwards,28.8
0042500171,2026-04-18,Final,,,,LAL,HOU,107,98,Luka Dončić,33.5,Kevin Durant,26.0
0042500101,2026-04-19,Final,,,,DET,ORL,101,112,Cade Cunningham,23.9,Paolo Banchero,22.2
0042500111,2026-04-19,Final,,,,BOS,PHI,123,91,Jaylen Brown,28.7,Tyrese Maxey,28.3
0042500141,2026-04-19,Final,,,,OKC,PHX,119,84,Shai Gilgeous-Alexander,31.1,Devin Booker,26.1
0042500151,2026-04-19,Final,,,,SAS,POR,111,98,Victor Wembanyama,25.0,Deni Avdija,24.2
0042500122,2026-04-20,Final,,,,NYK,ATL,106,107,Jalen Brunson,26.0,Jalen Johnson,22.5
0042500132,2026-04-20,Final,,,,CLE,TOR,115,105,Donovan Mitchell,27.9,Brandon Ingram,21.5
0042500162,2026-04-20,Final,,,,DEN,MIN,114,119,Nikola Jokić,27.7,Anthony Edwards,28.8
0042500112,2026-04-21,Final,,,,BOS,PHI,97,111,Jaylen Brown,28.7,Tyrese Maxey,28.3
0042500152,2026-04-21,Final,,,,SAS,POR,103,106,Victor Wembanyama,25.0,Deni Avdija,24.2
0042500172,2026-04-21,Final,,,,LAL,HOU,101,94,Luka Dončić,33.5,Kevin Durant,26.0
0042500102,2026-04-22,Final,,,,DET,ORL,98,83,Cade Cunningham,23.9,Paolo Banchero,22.2
0042500142,2026-04-22,Final,,,,OKC,PHX,120,107,Shai Gilgeous-Alexander,31.1,Devin Booker,26.1
0042500123,2026-04-23,Final,,,,ATL,NYK,109,108,Jalen Johnson,22.5,Jalen Brunson,26.0
0042500133,2026-04-23,Final,,,,TOR,CLE,126,104,Brandon Ingram,21.5,Donovan Mitchell,27.9
0042500163,2026-04-23,Final,,,,MIN,DEN,113,96,Anthony Edwards,28.8,Nikola Jokić,27.7
0042500113,2026-04-24,Final,,,,PHI,BOS,100,108,Tyrese Maxey,28.3,Jaylen Brown,28.7
0042500153,2026-04-24,Final,,,,POR,SAS,108,120,Deni Avdija,24.2,Victor Wembanyama,25.0
0042500173,2026-04-24,Final,,,,HOU,LAL,108,112,Kevin Durant,26.0,Luka Dončić,33.5
0042500103,2026-04-25,Final,,,,ORL,DET,113,105,Paolo Banchero,22.2,Cade Cunningham,23.9
0042500124,2026-04-25,Final,,,,ATL,NYK,98,114,Jalen Johnson,22.5,Jalen Brunson,26.0
0042500143,2026-04-25,Final,,,,PHX,OKC,109,121,Devin Booker,26.1,Shai Gilgeous-Alexander,31.1
0042500164,2026-04-25,Final,,,,MIN,DEN,112,96,Anthony Edwards,28.8,Nikola Jokić,27.7
0042500114,2026-04-26,Final,,,,PHI,BOS,96,128,Tyrese Maxey,28.3,Jaylen Brown,28.7
0042500134,2026-04-26,Final,,,,TOR,CLE,93,89,Brandon Ingram,21.5,Donovan Mitchell,27.9
0042500154,2026-04-26,Final,,,,POR,SAS,93,114,Deni Avdija,24.2,Victor Wembanyama,25.0
0042500174,2026-04-26,Final,,,,HOU,LAL,115,96,Kevin Durant,26.0,Luka Dončić,33.5
0042500104,2026-04-27,Final,,,,ORL,DET,94,88,Paolo Banchero,22.2,Cade Cunningham,23.9
0042500144,2026-04-27,Final,,,,PHX,OKC,122,131,Devin Booker,26.1,Shai Gilgeous-Alexander,31.1
0042500165,2026-04-27,Final,,,,DEN,MIN,125,113,Nikola Jokić,27.7,Anthony Edwards,28.8
0042500115,2026-04-28,Final,,,,BOS,PHI,97,113,Jaylen Brown,28.7,Tyrese Maxey,28.3
0042500125,2026-04-28,Final,,,,NYK,ATL,126,97,Jalen Brunson,26.0,Jalen Johnson,22.5
0042500155,2026-04-28,Final,,,,SAS,POR,114,95,Victor Wembanyama,25.0,Deni Avdija,24.2
